,datesold,price_1_unit,price_2_house,price_2_unit,price_3_house,price_3_unit,price_4_house,price_5_house
971,2009-10-05,267750.0,376117.64705882355,417500.0,441029.1666666667,399083.3333333333,678000.0,1305882.3529411764
972,2009-10-06,275500.0,362558.8235294118,425000.0,451400.0,396500.0,591500.0,1254558.8235294118
973,2009-10-07,283250.0,349000.0,432500.0,434166.6666666667,393916.6666666667,505000.0,1203235.294117647
974,2009-10-08,291000.0,325000.0,440000.0,584000.0,391333.3333333333,498600.0,1151911.7647058824
975,2009-10-09,298750.0,486250.0,431875.0,468725.0,388750.0,492200.0,1100588.2352941176
976,2009-10-10,306500.0,647500.0,423750.0,498142.14285714284,386166.6666666667,523000.0,1049264.705882353
977,2009-10-11,314250.0,640000.0,415625.0,523196.0714285714,383583.3333333333,1210000.0,997941.1764705882
978,2009-10-12,322000.0,632500.0,407500.0,548250.0,381000.0,635000.0,946617.6470588235
979,2009-10-13,336785.71428571426,625000.0,399375.0,365000.0,378416.6666666667,580000.0,895294.1176470588
980,2009-10-14,351571.4285714286,617500.0,391250.0,410000.0,375833.3333333333,525000.0,843970.5882352941
981,2009-10-15,366357.14285714284,610000.0,383125.0,455000.0,373250.0,470000.0,792647.0588235294
982,2009-10-16,381142.85714285716,602500.0,375000.0,441666.6666666667,370666.6666666667,464000.0,741323.5294117647
983,2009-10-17,395928.5714285714,595000.0,460833.3333333333,620000.0,368083.3333333333,495000.0,690000.0
984,2009-10-18,410714.2857142857,587500.0,546666.6666666666,515000.0,365500.0,515166.6666666667,706000.0
985,2009-10-19,425500.0,580000.0,632500.0,410000.0,362916.6666666667,535333.3333333334,722000.0
986,2009-10-20,406625.0,572500.0,718333.3333333333,445750.0,360333.3333333333,553583.3333333334,586500.0
987,2009-10-21,387750.0,565000.0,804166.6666666667,525000.0,357750.0,571833.3333333334,451000.0
988,2009-10-22,368875.0,557500.0,890000.0,446250.0,355166.6666666667,590083.3333333334,465500.0
989,2009-10-23,350000.0,550000.0,315000.0,367500.0,352583.3333333333,608333.3333333334,480000.0
990,2009-10-24,339000.0,542500.0,334083.3333333333,577500.0,350000.0,580000.0,494500.0
991,2009-10-25,328000.0,535000.0,353166.6666666667,492325.0,359375.0,540000.0,509000.0
992,2009-10-26,317000.0,527500.0,372250.0,407150.0,368750.0,500000.0,523500.0
993,2009-10-27,314090.9090909091,520000.0,391333.3333333333,585333.3333333334,378125.0,532100.0,538000.0
994,2009-10-28,311181.8181818182,512500.0,410416.6666666666,389950.0,387500.0,564200.0,699500.0
995,2009-10-29,308272.7272727273,505000.0,429500.0,421000.0,396875.0,596300.0,845600.0
996,2009-10-30,305363.63636363635,497500.0,445000.0,444000.0,406250.0,628400.0,991700.0
997,2009-10-31,302454.54545454547,490000.0,420400.0,477500.0,415625.0,660500.0,1137800.0
998,2009-11-01,299545.45454545453,482500.0,395800.0,458350.0,425000.0,580000.0,1283900.0
999,2009-11-02,296636.36363636365,475000.0,371200.0,439200.0,434375.0,681750.0,1430000.0
1000,2009-11-03,293727.2727272727,467500.0,346600.0,496100.0,443750.0,645196.4285714286,1311428.5714285714
1001,2009-11-04,290818.1818181818,460000.0,322000.0,553000.0,453125.0,608642.8571428572,1192857.1428571427
1002,2009-11-05,287909.0909090909,452500.0,343083.3333333333,381875.0,462500.0,620000.0,1074285.7142857143
1003,2009-11-06,285000.0,445000.0,364166.6666666667,575333.3333333334,471875.0,612100.0,955714.2857142857
1004,2009-11-07,270500.0,437500.0,385250.0,630000.0,481250.0,604200.0,837142.8571428572
1005,2009-11-08,256000.0,430000.0,406333.3333333333,560166.6666666666,490625.0,596300.0,718571.4285714285
1006,2009-11-09,241500.0,422500.0,427416.6666666666,490333.3333333333,500000.0,588400.0,600000.0
1007,2009-11-10,227000.0,415000.0,448500.0,426663.3333333333,502307.6923076923,658950.0,845000.0
1008,2009-11-11,212500.0,407500.0,469583.3333333333,423331.6666666666,504615.3846153846,813333.3333333334,826625.0
1009,2009-11-12,198000.0,400000.0,490666.6666666666,420000.0,506923.07692307694,570000.0,808250.0
1010,2009-11-13,183500.0,392500.0,511750.0,450000.0,509230.76923076925,640000.0,789875.0
1011,2009-11-14,169000.0,385000.0,532833.3333333333,417000.0,511538.46153846156,883000.0,771500.0
1012,2009-11-15,154500.0,377500.0,553916.6666666666,403250.0,513846.1538461539,766500.0,753125.0
1013,2009-11-16,140000.0,370000.0,575000.0,389500.0,516153.8461538461,650000.0,734750.0
1014,2009-11-17,173262.5,374000.0,560000.0,410000.0,518461.53846153844,890000.0,716375.0
1015,2009-11-18,206525.0,378000.0,545000.0,435000.0,520769.23076923075,643875.0,698000.0
1016,2009-11-19,239787.5,382000.0,530000.0,419980.0,523076.92307692306,570000.0,688631.5789473684
1017,2009-11-20,273050.0,386000.0,515000.0,404960.0,525384.6153846154,596375.0,679263.1578947369
1018,2009-11-21,275471.4285714286,390000.0,500000.0,419973.3333333333,527692.3076923077,588981.25,669894.7368421053
1019,2009-11-22,277892.85714285716,394000.0,485000.0,434986.6666666667,530000.0,581587.5,660526.3157894737
1020,2009-11-23,280314.28571428574,398000.0,470000.0,450000.0,532307.6923076923,574193.75,651157.8947368421
1021,2009-11-24,282735.71428571426,395454.54545454547,457500.0,408500.0,534615.3846153846,566800.0,641789.4736842106
1022,2009-11-25,285157.14285714284,392909.0909090909,445000.0,493500.0,536923.0769230769,475133.3333333333,632421.052631579
1023,2009-11-26,287578.5714285714,390363.63636363635,432500.0,468500.0,539230.7692307692,719666.6666666666,623052.6315789474
1024,2009-11-27,290000.0,387818.1818181818,420000.0,519583.3333333333,541538.4615384615,690150.0,613684.2105263157
1025,2009-11-28,277900.0,385272.7272727273,416666.6666666667,570666.6666666666,543846.1538461539,798500.0,604315.7894736843
1026,2009-11-29,265800.0,382727.2727272727,413333.3333333333,559583.3333333333,546153.8461538461,686750.0,594947.3684210526
1027,2009-11-30,253700.0,380181.8181818182,410000.0,548500.0,548461.5384615385,575000.0,585578.947368421
1028,2009-12-01,241600.0,377636.36363636365,415110.0,395000.0,550769.2307692308,640000.0,576210.5263157894
1029,2009-12-02,229500.0,375090.9090909091,420220.0,598900.0,553076.9230769231,744000.0,566842.1052631579
1030,2009-12-03,217400.0,372545.45454545453,425330.0,375000.0,555384.6153846154,552000.0,557473.6842105263
1031,2009-12-04,205300.0,370000.0,430440.0,412000.0,557692.3076923077,646500.0,548105.2631578947
1032,2009-12-05,193200.0,367454.54545454547,435550.0,573250.0,560000.0,527500.0,538736.8421052631
1033,2009-12-06,181100.0,364909.09090909094,440660.0,485253.3333333334,562307.6923076923,573250.0,529368.4210526316
1034,2009-12-07,169000.0,362363.63636363635,445770.0,397256.6666666667,564615.3846153846,619000.0,520000.0
1035,2009-12-08,178777.77777777778,359818.1818181818,450880.0,375000.0,566923.0769230769,477000.0,561785.7142857143
1036,2009-12-09,188555.55555555556,357272.7272727273,455990.0,460000.0,569230.7692307692,490000.0,603571.4285714285
1037,2009-12-10,198333.33333333334,354727.2727272727,461100.0,403000.0,571538.4615384615,873000.0,645357.1428571428
1038,2009-12-11,208111.11111111112,352181.8181818182,447075.0,458000.0,573846.1538461539,470000.0,687142.8571428572
1039,2009-12-12,217888.88888888888,349636.36363636365,433050.0,555000.0,576153.8461538461,470750.0,728928.5714285714
1040,2009-12-13,227666.66666666666,347090.90909090906,419025.0,467441.6666666666,578461.5384615385,471500.0,770714.2857142857
1041,2009-12-14,237444.44444444444,344545.45454545453,405000.0,379883.3333333333,580769.2307692308,472250.0,812500.0
1042,2009-12-15,247222.22222222222,342000.0,405500.0,542500.0,583076.9230769231,473000.0,807142.8571428572
1043,2009-12-16,257000.0,343016.6666666667,393750.0,567125.0,585384.6153846154,717500.0,801785.7142857143
1044,2009-12-17,296366.6666666667,344033.3333333333,382000.0,591750.0,587692.3076923077,550000.0,796428.5714285715
1045,2009-12-18,335733.3333333334,345050.0,433000.0,747500.0,590000.0,630833.3333333334,791071.4285714285
1046,2009-12-19,375100.0,346066.6666666667,408000.0,652833.3333333334,642428.5714285715,593222.2222222222,785714.2857142857
1047,2009-12-20,395050.0,347083.3333333333,383000.0,558166.6666666666,694857.1428571428,555611.1111111111,780357.1428571428
1048,2009-12-21,415000.0,348100.0,358000.0,463500.0,747285.7142857143,518000.0,775000.0
1049,2009-12-22,272000.0,349116.6666666667,342500.0,432000.0,799714.2857142857,466000.0,610000.0
1050,2009-12-23,330000.0,350133.3333333333,354500.0,449687.5,852142.8571428572,608487.5,1076000.0
1051,2009-12-24,326842.1052631579,351150.0,366500.0,506020.0,904571.4285714286,579500.0,683000.0
1052,2009-12-25,323684.2105263158,352166.6666666667,372805.55555555556,499563.63636363635,957000.0,590541.6666666666,734307.6923076923
1053,2009-12-26,320526.3157894737,353183.3333333333,379111.1111111111,493107.2727272727,1009428.5714285714,601583.3333333334,785615.3846153846
1054,2009-12-27,317368.4210526316,354200.0,385416.6666666667,486650.9090909091,1061857.1428571427,612625.0,836923.0769230769
1055,2009-12-28,314210.5263157895,355216.6666666667,391722.22222222225,480194.54545454547,1114285.7142857143,623666.6666666666,888230.7692307692
1056,2009-12-29,311052.63157894736,356233.3333333333,398027.77777777775,473738.1818181818,1166714.2857142857,634708.3333333334,939538.4615384615
1057,2009-12-30,307894.7368421053,357250.0,404333.3333333333,467281.8181818182,1219142.8571428573,645750.0,990846.1538461538
1058,2009-12-31,304736.84210526315,358266.6666666667,410638.8888888889,460825.45454545453,1271571.4285714286,656791.6666666666,1042153.8461538461
1059,2010-01-01,301578.94736842107,359283.3333333333,416944.44444444444,454369.09090909094,1324000.0,667833.3333333334,1093461.5384615385
1060,2010-01-02,298421.05263157893,360300.0,423250.0,447912.7272727273,1376428.5714285714,678875.0,1144769.2307692308
1061,2010-01-03,295263.15789473685,361316.6666666667,429555.55555555556,441456.36363636365,1428857.1428571427,689916.6666666666,1196076.923076923
1062,2010-01-04,292105.2631578947,362333.3333333333,435861.1111111111,435000.0,1481285.714285714,700958.3333333334,1247384.6153846155
1063,2010-01-05,288947.36842105264,363350.0,442166.6666666666,432887.5,1533714.2857142857,712000.0,1298692.3076923075
1064,2010-01-06,285789.4736842105,364366.6666666667,448472.22222222225,430775.0,1586142.857142857,435000.0,1350000.0
1065,2010-01-07,282631.5789473684,365383.3333333333,454777.77777777775,428662.5,1638571.4285714286,612500.0,1231285.7142857143
1066,2010-01-08,279473.6842105263,366400.0,461083.3333333333,426550.0,1691000.0,601041.6666666666,1112571.4285714286
1067,2010-01-09,276315.7894736842,367416.6666666667,467388.8888888889,433625.0,1743428.5714285714,589583.3333333333,993857.1428571428
1068,2010-01-10,273157.89473684214,368433.3333333333,473694.44444444444,440700.0,1795857.1428571427,578125.0,875142.8571428572
1069,2010-01-11,270000.0,369450.0,480000.0,447775.0,1848285.7142857143,566666.6666666666,756428.5714285715
1070,2010-01-12,285571.4285714286,370466.6666666667,448775.0,454850.0,1900714.2857142857,575833.3333333333,637714.2857142857
1071,2010-01-13,301142.85714285716,371483.3333333333,417550.0,461925.0,1953142.857142857,585000.0,519000.0
1072,2010-01-14,316714.28571428574,372500.0,386325.0,469000.0,2005571.4285714284,584000.0,580000.0
1073,2010-01-15,332285.71428571426,366875.0,355100.0,457280.0,2058000.0,583000.0,575003.0303030303
1074,2010-01-16,347857.14285714284,361250.0,412080.0,445560.0,2110428.5714285714,582000.0,570006.0606060605
1075,2010-01-17,363428.5714285714,355625.0,469060.0,433840.0,2162857.1428571427,581000.0,565009.0909090909
